0,Model_0,Model_1,Model_2,Model_3,Model_4,Average
GO:0008800,0.0,0.0,0.0010250418875000246,0.0,2.6088113380192313e-19,0.00020500837750000496
GO:0003955,0.0008958860992594945,0.0012936998180649523,0.0,0.0,0.0,0.00043791718346488935
GO:0071459,0.0,0.0,0.0,0.0,0.0,0.0
GO:0052833,0.0,0.0,0.000635805184307892,0.0,0.0003826620431939092,0.00020369344550036022
GO:0005375,0.0,0.0,0.0,0.0,0.0,0.0
GO:0010637,0.0,0.0,0.0,0.0,0.0,0.0
GO:0000166,0.0,0.0,0.0005559062242003137,0.0,0.00024366896708380794,0.00015991503825682433
GO:0050066,0.0,0.0,0.0,0.0,2.67104568334776e-06,5.34209136669552e-07
GO:0032065,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006605,0.0,0.0,2.479650984305575e-05,0.0,0.0003754535748753415,8.005001694367945e-05
GO:0006553,0.0,0.00046373159192754907,0.0,0.0,0.0,9.274631838550982e-05
GO:0045821,0.0,0.0,0.0,0.0,0.0,0.0
GO:2000711,0.0,0.0,0.0,0.0,0.0,0.0
GO:0031204,0.0,0.0,0.0,0.0,0.0,0.0
GO:0046113,0.0,0.000295360330367061,0.0,0.001136491557156359,0.0,0.00028637037750468396
GO:0032411,0.0,0.0,0.0,0.0,0.0,0.0
GO:0048472,0.0003776052198867551,0.0014464673840711368,0.0011572737992202784,0.0,0.0,0.0005962692806356341
GO:0043541,0.0,0.0,0.0,0.0,0.0,0.0
GO:0016259,0.0,0.0,0.0,0.0,0.0,0.0
